,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
89,True,balanced_subsample,gini,,sqrt,4,10,200,0.7882849263627295,0.3118003009348893,0.1953883495145631
90,True,,gini,,auto,1,10,200,0.9430684554523563,0.26145480470382854,0.1528005974607916
91,True,balanced,entropy,,sqrt,1,2,10,0.897112554112554,0.2753867940669378,0.164395070948469
92,False,balanced,entropy,,sqrt,1,2,50,0.9239475500345066,0.2913853241311156,0.17406646751306945
93,True,balanced,gini,,auto,1,2,50,0.9385281385281384,0.2721919001233356,0.16054891710231517
94,True,balanced,entropy,10.0,auto,2,2,10,0.30506387618799796,0.33724689852982803,0.3867998506348021
95,True,balanced_subsample,gini,50.0,auto,2,10,100,0.7900617900617901,0.2996268190348529,0.18569828230022406
96,False,balanced_subsample,entropy,,sqrt,2,2,50,0.8688327759197325,0.29080967388809437,0.176008215085885
97,True,balanced,entropy,10.0,auto,4,10,50,0.36203898929000433,0.3637916190097305,0.3790888722927558
98,True,balanced,entropy,,auto,4,2,10,0.6634122485701432,0.31168280886761845,0.2050784167289022
99,True,balanced_subsample,entropy,,auto,2,10,50,0.849997699562917,0.29541892137993836,0.17991038088125466
